Wall time,Step,Value
1733409089.3626707,1000000,9.563799858093262
1733409419.238397,2000000,14.179100036621094
1733409742.8580844,3000000,24.63719940185547
1733410059.0103416,4000000,23.878400802612305
1733410372.9517376,5000000,25.082050323486328
1733410700.7832358,6000000,26.443849563598633
1733411024.4336438,7000000,29.768550872802734
1733411344.2517204,8000000,27.594900131225586
1733411668.9555383,9000000,31.198949813842773
1733411998.0403812,10000000,27.839099884033203
1733412322.9998934,11000000,29.018949508666992
1733412644.3617108,12000000,25.077800750732422
1733412964.050741,13000000,29.962900161743164
1733413289.8355622,14000000,34.502498626708984
1733413594.8398697,15000000,32.37355041503906
1733413899.248914,16000000,33.70724868774414
1733414211.8358824,17000000,34.75630187988281
1733414536.307302,18000000,29.91349983215332
1733414880.0684805,19000000,30.75575065612793
1733415227.299025,20000000,31.25385093688965
1733415573.0359633,21000000,33.91994857788086
1733415915.517165,22000000,26.993450164794922
1733416260.9173465,23000000,35.54154968261719
1733416590.3735857,24000000,31.14764976501465
1733416908.318561,25000000,23.941150665283203
1733417229.3247712,26000000,33.98524856567383
1733417551.2357445,27000000,26.88705062866211
1733417877.4338048,28000000,31.599849700927734
1733418203.263979,29000000,36.18230056762695
